0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
51,10,45,87,27,47,39,35,6,69,92,30,90,77,31,60,81,82,29,79
0,99,6,35,57,66,56,3,74,52,10,55,59,45,95,71,53,10,97,84
21,33,77,96,31,88,96,94,81,58,14,25,86,24,62,74,37,28,7,51
18,35,90,33,32,7,89,3,55,96,39,65,35,45,64,75,71,38,86,96
32,82,85,77,44,48,17,18,76,50,68,92,2,14,1,51,3,96,50,95
14,11,97,8,35,41,47,39,88,67,32,60,6,56,26,71,34,24,26,73
90,38,26,93,1,6,28,21,20,1,64,52,68,27,46,31,73,49,81,89
46,85,3,6,90,59,94,12,20,11,97,97,82,1,24,51,4,45,65,12
95,67,10,38,89,17,70,54,51,97,13,29,37,95,85,94,1,69,0,66
68,51,85,67,77,46,19,68,7,48,41,82,77,74,33,50,64,83,68,84
75,42,93,34,69,74,28,73,53,7,44,41,78,33,19,10,68,35,50,33
26,11,48,49,61,56,71,28,22,22,97,41,44,81,19,57,77,93,70,48
14,59,26,88,12,70,63,66,91,1,48,92,0,51,16,37,24,11,44,39
74,93,23,62,71,97,37,37,74,89,69,91,68,75,92,13,4,10,67,60
99,81,0,99,32,98,3,32,34,0,86,43,71,99,50,35,5,65,51,96
86,64,14,17,7,29,18,88,70,94,13,50,82,30,79,69,70,38,41,10
57,5,8,59,7,39,92,71,34,19,30,8,68,92,99,96,38,77,49,17
36,8,50,2,2,4,97,23,56,10,5,19,37,88,70,79,8,75,94,1
57,32,36,46,87,56,89,51,30,84,41,88,72,81,6,56,0,57,62,77
22,18,35,72,36,3,57,68,55,29,88,95,9,74,20,48,10,40,10,86
72,86,5,75,49,81,35,28,23,71,76,74,21,90,60,14,46,5,44,27
18,94,24,43,5,43,65,33,36,6,71,50,42,62,50,35,81,71,47,75
61,69,95,1,73,21,27,86,33,19,2,31,89,92,61,21,99,10,17,14
75,90,38,96,98,40,7,30,74,94,57,52,85,25,46,40,19,63,24,59
57,24,8,79,89,54,87,61,36,71,48,18,75,98,61,60,92,62,39,48
1,84,0,46,75,23,42,26,36,71,42,89,31,92,3,92,29,23,76,89
32,17,29,36,98,0,70,50,20,89,77,15,44,70,59,76,24,19,75,23
59,91,5,47,44,6,38,63,84,92,73,44,27,99,75,0,57,43,14,55
93,32,96,85,91,2,3,89,65,22,31,77,62,90,0,20,71,34,50,38
11,44,98,18,3,67,44,15,61,94,16,21,11,78,82,27,9,65,24,64
26,6,97,72,61,19,37,66,98,34,4,73,31,90,46,38,83,81,5,43
66,31,3,58,42,24,84,89,92,66,28,64,23,62,66,22,87,52,80,29
41,45,89,19,45,93,36,80,17,75,21,7,83,40,54,15,89,83,69,28
88,80,3,31,18,16,66,56,77,82,48,35,32,51,93,33,65,69,98,95
46,14,18,93,32,52,69,32,8,79,84,35,62,51,91,77,50,7,19,47
65,41,89,89,39,41,5,12,46,94,64,29,66,93,46,65,78,98,62,14
94,53,2,74,67,66,44,10,91,19,68,59,41,18,70,56,93,38,90,34
22,67,80,48,66,18,2,52,55,52,91,20,65,8,91,59,37,3,34,83
64,97,50,54,7,10,65,75,91,87,69,74,31,76,46,32,90,9,61,95
92,10,8,22,41,94,61,39,52,95,95,28,57,48,47,98,83,71,82,32
29,13,87,58,56,59,3,61,12,88,85,17,48,51,79,92,12,0,36,86
67,56,16,84,95,12,74,34,88,30,29,5,51,45,40,17,47,53,63,80
88,29,54,51,9,67,3,31,22,37,98,23,92,8,40,33,38,21,55,21
82,30,99,36,2,19,82,34,57,56,93,42,87,70,87,66,91,24,69,76
33,92,89,15,3,54,77,45,91,5,12,97,44,58,8,2,21,44,8,48
5,90,28,93,56,68,20,16,56,2,51,80,68,39,23,79,96,41,19,60
29,67,65,55,96,20,56,74,59,46,5,5,2,48,37,17,46,44,0,33
79,93,56,79,87,65,98,5,41,90,81,1,23,88,32,32,68,58,1,96
12,0,39,38,92,51,51,64,63,52,68,86,93,65,82,25,15,29,39,85
38,9,51,97,44,2,26,37,63,55,22,71,54,47,29,77,64,43,94,16
74,56,16,38,72,50,89,90,63,32,14,91,75,81,1,9,50,20,97,58
42,69,20,22,80,71,98,89,3,16,86,57,14,49,40,29,15,97,1,95
28,37,59,67,63,76,70,74,5,6,93,41,98,52,42,84,53,50,34,28
27,79,47,93,83,84,17,87,61,23,12,34,98,36,17,77,2,32,67,8
20,96,89,86,23,30,47,9,95,91,14,10,11,1,98,29,96,9,85,16
54,28,71,48,97,6,86,22,42,83,48,24,20,97,99,99,15,25,72,65
84,56,5,20,64,96,84,38,42,71,60,94,5,92,35,60,92,35,48,51
5,37,53,80,55,81,18,98,20,54,83,56,38,68,15,57,13,72,57,33
90,3,71,11,94,60,55,43,14,0,95,17,79,72,69,75,82,60,77,25
35,94,80,42,5,46,1,83,52,66,37,42,61,50,21,68,40,72,9,79
57,33,31,56,44,32,38,71,38,8,89,16,60,63,49,74,15,12,53,48
55,47,16,51,58,60,37,14,79,39,26,39,86,72,94,3,55,43,19,22
17,76,10,8,44,36,57,93,39,95,88,7,87,1,70,29,83,14,46,93
65,18,5,0,14,1,16,18,46,21,82,99,40,79,60,29,41,10,27,50
44,9,40,63,22,51,15,23,50,40,46,86,83,78,62,42,46,49,6,46
87,13,12,94,21,29,15,90,19,40,66,99,71,50,95,41,70,27,2,21
17,69,56,68,85,52,68,90,80,63,2,73,7,17,5,77,94,59,59,26
30,54,38,63,31,16,32,93,44,1,96,36,79,68,57,60,26,28,27,24
90,87,53,98,82,18,22,68,99,46,45,16,97,54,46,22,30,0,87,51
76,28,1,25,89,67,81,65,93,4,86,28,99,98,81,27,48,14,93,38
81,74,7,29,79,29,78,7,99,42,46,65,50,79,69,84,31,51,55,62
79,18,18,63,5,81,18,44,75,17,73,30,75,83,32,57,9,40,51,26
39,10,5,6,41,52,83,26,98,12,74,65,12,25,95,49,39,14,94,66
73,60,39,14,46,96,47,21,59,59,19,65,68,22,93,6,29,36,64,44
40,14,97,76,25,49,19,60,30,54,14,5,88,90,51,14,13,74,43,6
89,85,34,76,96,96,50,12,86,56,62,53,77,3,50,27,73,38,26,1
31,9,8,23,66,52,62,72,99,1,75,82,44,19,39,96,51,43,61,38
57,99,40,78,83,2,90,34,71,0,86,10,35,60,6,46,76,64,52,13
27,50,50,54,68,2,66,82,45,55,15,14,14,46,86,51,16,83,88,36
47,22,84,87,41,22,54,6,18,5,4,57,42,2,41,39,48,6,94,21
50,54,46,36,29,57,35,87,71,99,93,74,26,12,29,1,33,21,41,14
11,47,59,0,21,62,52,54,15,38,23,74,26,46,0,34,55,74,58,69
74,22,28,31,89,21,14,44,46,88,13,22,7,32,93,75,21,78,73,52
1,24,8,16,49,35,83,2,90,0,37,76,57,90,58,9,16,98,29,72
87,69,78,51,21,91,44,71,55,39,64,14,72,32,35,31,21,48,26,48
71,65,79,7,38,28,54,51,87,38,85,75,71,24,58,30,28,32,25,21
23,42,5,77,39,98,4,22,90,59,58,73,9,12,89,53,67,77,96,18
68,35,99,91,43,29,12,11,68,93,4,8,35,44,29,30,12,68,84,33
45,88,0,82,51,21,54,5,12,51,41,60,11,89,47,20,58,67,96,8
31,45,17,48,48,16,11,12,54,60,78,48,57,69,29,42,98,16,6,71
52,21,92,52,6,67,54,8,99,15,1,25,75,40,4,41,99,85,39,8
97,81,81,97,52,87,44,61,91,60,60,1,45,81,69,92,63,21,22,86
77,64,51,54,81,23,9,77,55,10,30,74,53,70,54,75,17,2,13,83
37,36,1,95,74,53,51,29,89,41,40,56,15,5,97,18,84,92,20,37
41,71,46,48,50,53,9,73,26,34,22,13,51,43,40,54,87,50,20,85
82,74,90,87,78,90,50,26,81,2,64,66,24,4,58,60,23,16,37,58
26,70,48,99,56,25,88,91,95,94,36,82,14,28,8,32,17,0,65,52
23,64,44,68,10,98,74,0,14,68,16,88,57,65,15,9,43,25,40,40
70,18,68,14,0,81,76,8,57,10,55,45,99,87,6,9,1,9,61,46
16,42,63,68,23,7,18,95,6,85,37,91,93,38,63,55,76,67,73,67
44,6,66,90,77,63,49,81,91,68,1,54,88,52,34,29,10,98,71,1
93,85,52,29,96,71,89,95,35,4,37,13,85,60,88,31,90,26,16,19
12,69,11,40,87,64,88,84,51,2,44,41,93,62,17,24,54,28,46,67
23,12,69,5,17,46,95,80,33,50,28,49,99,76,79,96,98,84,54,1
32,32,88,59,51,59,68,5,43,92,36,15,3,91,22,66,52,70,86,42
73,86,96,99,97,67,19,58,48,18,64,72,19,65,32,89,13,55,27,77
65,4,90,19,7,42,81,33,99,86,42,41,33,64,74,67,77,80,33,33
42,54,32,11,6,33,87,1,55,74,34,99,39,69,35,54,56,74,78,20
40,91,98,55,29,68,47,22,9,2,71,74,51,66,1,50,40,76,58,49
89,75,87,70,44,10,48,25,55,57,81,60,59,69,62,84,83,1,70,58
14,96,1,70,42,20,1,4,92,32,20,61,3,96,33,0,3,88,53,1
51,90,31,90,19,50,71,50,75,75,98,32,42,86,46,75,91,85,66,87
47,99,75,91,18,50,88,44,93,39,85,74,40,14,82,52,10,14,6,30
58,96,57,3,87,34,69,35,66,21,54,46,0,17,12,68,0,89,43,29
12,52,0,90,62,60,40,26,86,31,67,91,1,94,26,51,80,50,48,47
78,94,85,47,82,67,83,2,87,13,56,5,52,13,2,10,79,76,86,81
37,9,91,56,11,78,80,97,5,4,63,32,58,59,96,19,78,15,53,23
0,55,21,85,48,81,33,54,43,84,26,21,37,86,70,85,34,36,51,17
53,86,59,23,0,18,17,15,57,92,89,42,39,86,19,79,94,98,84,41
66,25,82,64,42,19,67,66,0,10,89,16,83,82,78,26,73,0,52,61
68,72,88,98,91,8,16,85,62,4,50,37,91,65,5,18,53,46,89,39
60,50,52,51,29,19,13,39,7,47,74,76,97,26,94,21,74,54,9,64
77,18,43,54,69,73,63,70,83,58,40,51,63,53,16,13,55,0,9,4
47,51,13,22,30,58,73,63,58,87,56,22,67,36,33,22,87,31,43,14
87,20,35,59,50,45,53,94,87,63,89,38,59,67,86,59,42,62,56,29
22,81,10,80,48,11,99,53,22,63,33,11,2,29,38,11,41,21,11,8
9,33,56,47,94,18,79,50,19,54,9,4,44,66,91,84,30,96,56,78
99,69,41,50,98,12,48,36,77,20,73,59,98,37,71,13,38,40,67,64
61,89,59,98,88,95,10,34,81,1,10,62,83,17,16,0,73,71,64,88
50,64,77,12,21,95,67,37,81,99,32,31,29,51,89,23,42,93,94,12
51,51,82,39,66,68,80,93,53,38,77,39,47,6,83,17,33,98,25,0
98,21,40,11,28,31,36,42,84,74,27,10,43,75,75,66,16,84,66,39
9,46,83,86,48,76,75,88,83,85,78,95,45,6,98,32,7,89,19,34
47,4,59,25,74,52,69,47,2,84,22,43,44,99,21,95,79,36,64,81
93,25,47,83,87,11,23,49,20,44,44,10,10,93,0,48,60,46,21,39
86,47,15,96,54,93,83,6,0,72,11,64,23,77,13,73,20,61,3,39
22,79,55,2,24,13,0,44,51,91,80,60,35,75,80,31,25,19,73,29
52,16,51,11,97,57,89,17,68,58,85,13,55,14,70,95,88,19,34,45
5,35,13,79,15,31,87,15,56,24,71,52,69,65,8,67,18,47,52,82
38,89,45,61,66,31,32,22,12,43,53,49,16,13,61,96,15,94,89,69
1,52,63,88,29,0,56,69,12,2,3,38,34,57,9,91,36,18,10,45
8,71,5,91,76,86,40,1,22,27,38,94,1,55,1,75,81,48,4,15
74,82,63,66,40,6,72,9,60,28,1,82,97,38,68,24,79,3,47,94
98,16,67,65,38,22,91,54,98,76,30,0,9,44,14,26,59,75,65,83
11,70,16,79,28,91,33,72,71,35,25,49,95,6,31,81,1,44,39,58
80,30,93,63,88,99,23,98,59,41,92,41,79,19,83,18,10,22,6,80
36,31,63,60,65,1,28,69,54,47,42,54,33,13,54,64,15,35,63,85
52,28,53,6,25,18,94,65,52,57,34,41,88,14,91,90,13,24,42,66
44,38,42,22,0,97,45,68,79,77,24,12,60,59,42,93,78,46,19,36
84,1,92,44,71,73,28,16,96,43,96,13,32,82,9,27,53,88,91,62
65,90,36,62,50,86,21,50,55,72,96,88,64,74,75,49,74,35,57,68
88,92,28,90,94,31,63,13,60,36,2,68,70,70,66,58,89,15,21,52
11,13,22,40,52,13,77,44,35,24,89,77,75,37,46,17,67,24,38,34
1,90,46,1,39,6,26,34,74,49,94,11,12,60,2,69,37,51,92,3
51,8,38,7,48,25,60,24,56,39,43,14,90,16,90,32,15,61,73,89
92,18,51,93,2,15,22,42,93,6,44,88,21,68,82,99,88,36,89,62
77,77,80,61,79,22,13,76,2,45,68,12,51,24,55,49,9,62,74,40
55,14,48,75,35,14,12,40,14,98,1,86,81,15,29,16,47,91,37,17
95,59,26,51,25,92,26,92,89,65,60,55,73,34,17,38,59,11,96,69
12,37,55,77,52,72,98,52,93,39,34,3,50,38,63,45,49,74,38,78
1,16,20,82,12,93,95,62,12,76,21,60,82,84,83,48,89,61,12,46
98,2,49,22,37,15,22,33,52,67,70,87,98,95,11,9,62,47,82,23
60,37,93,0,12,3,39,79,80,68,96,2,49,31,10,23,72,25,4,88
88,74,47,30,21,13,94,21,24,52,61,50,96,73,0,30,21,37,95,2
73,47,47,82,16,21,64,17,79,11,22,33,33,61,28,98,61,78,15,77
3,53,60,83,75,11,7,83,27,32,70,77,51,53,87,15,76,73,88,87
93,59,20,40,91,26,46,47,62,87,99,88,90,57,84,99,92,55,45,40
63,96,66,36,48,47,9,43,81,76,47,21,82,50,61,1,93,44,55,15
76,73,66,97,67,56,78,90,16,22,14,8,18,3,18,63,97,18,18,23
26,92,53,63,53,32,50,26,99,2,29,42,77,48,96,13,23,18,31,92
84,86,70,78,73,99,86,21,0,91,26,19,65,87,44,75,39,30,28,86
75,12,11,82,95,91,18,42,6,78,13,67,64,79,73,35,67,92,79,68
18,95,85,52,40,47,37,77,15,70,39,56,30,93,43,87,42,87,63,11
20,63,47,87,30,62,74,54,95,43,7,86,93,19,78,58,43,79,67,47
39,41,81,61,27,23,12,56,87,25,20,86,54,25,47,43,12,90,82,73
37,17,90,15,40,78,3,79,58,87,84,73,77,56,21,83,21,7,29,93
18,8,85,82,4,85,39,25,50,71,15,31,93,0,57,50,53,39,55,26
26,95,88,40,70,88,38,20,80,91,58,39,27,89,93,27,64,65,86,64
13,48,3,90,59,94,61,20,4,50,74,56,8,26,77,22,52,44,15,98
29,2,10,70,2,30,29,50,22,84,63,36,31,50,40,16,19,12,49,84
6,67,78,43,18,9,13,70,62,41,53,67,8,16,1,27,73,49,87,84
18,1,11,95,77,34,76,90,56,51,84,68,50,51,80,45,22,95,11,40
8,69,90,58,95,36,29,64,21,34,11,7,68,74,53,0,77,98,72,96
77,87,84,71,43,57,45,61,89,47,70,97,36,69,97,11,30,58,27,51
20,58,81,42,40,69,58,44,89,72,58,52,22,51,1,65,99,0,40,1
55,62,49,80,56,20,24,76,58,99,38,16,53,31,72,48,55,28,36,70
6,41,33,36,30,60,54,49,33,38,53,6,34,6,14,31,40,42,83,92
86,24,24,59,28,16,23,11,90,80,85,34,29,30,56,36,57,86,57,22
32,41,91,31,94,41,0,19,5,64,23,42,57,49,22,60,28,95,31,18
97,61,22,61,39,80,71,56,1,27,66,19,49,49,44,97,46,32,55,43
10,86,48,38,72,29,17,53,81,49,53,39,82,83,39,34,15,21,76,79
67,43,84,90,23,83,23,99,35,4,70,50,52,32,72,33,7,20,27,0
0,73,74,56,71,89,14,89,85,32,18,47,90,96,7,9,21,24,27,10
32,9,14,23,85,12,25,18,76,52,87,31,44,63,79,65,37,14,38,91
82,32,43,94,77,64,70,17,78,6,12,16,74,16,37,43,87,47,74,22
72,25,47,46,66,82,73,56,60,60,77,80,34,27,84,69,76,16,70,17
47,69,6,92,27,54,65,59,56,10,9,64,74,29,71,29,82,62,2,0
93,84,48,16,66,34,51,43,50,62,24,59,53,11,22,68,42,38,28,85
65,75,67,91,21,20,89,70,57,2,96,92,16,12,40,83,47,85,64,43
30,51,81,33,86,47,87,84,87,0,88,61,79,0,22,95,52,39,78,8
66,94,1,68,24,1,65,11,14,33,78,2,90,46,62,55,66,34,5,29
45,40,2,37,51,4,11,84,38,3,1,97,73,22,31,34,79,12,56,76
55,23,13,34,9,10,70,97,25,93,54,22,27,42,91,47,1,64,85,52
94,94,84,76,39,69,57,4,1,78,50,15,23,51,45,58,44,2,9,83
13,41,78,60,50,26,30,20,15,33,20,57,1,92,33,63,97,44,36,56
30,56,40,96,75,25,43,58,2,54,54,80,34,45,77,64,41,17,32,96
14,65,78,13,61,97,24,2,7,5,95,67,69,75,31,46,60,71,59,31
69,24,24,42,24,71,62,62,59,56,38,52,38,66,7,19,38,79,12,16
94,25,57,6,89,12,37,55,20,9,29,99,88,76,41,93,71,33,97,9
60,56,60,17,97,80,44,26,96,43,52,16,43,35,1,87,90,23,68,44
59,25,88,60,36,47,48,96,48,27,37,58,67,8,97,54,80,12,48,24
21,55,28,20,59,89,17,75,34,9,18,27,37,81,74,98,66,64,81,83
62,14,40,11,49,52,13,83,23,21,41,97,2,48,45,82,53,8,66,10
80,5,89,42,85,77,7,99,49,45,7,76,88,69,63,43,71,6,12,50
56,10,31,97,58,44,89,18,66,60,89,51,48,92,25,77,13,7,11,75
79,3,88,58,77,57,43,38,47,71,71,28,82,46,69,39,56,48,21,53
3,79,98,25,22,32,89,22,27,51,72,84,91,78,30,47,83,2,46,8
96,14,48,63,72,46,3,77,14,99,3,41,45,85,83,20,71,56,10,95
22,39,88,29,61,61,1,66,65,38,16,90,62,39,36,70,75,66,10,86
97,41,38,42,16,62,10,35,42,70,93,99,8,71,21,63,50,23,84,85
15,56,91,43,83,1,90,28,73,59,93,37,17,85,96,91,70,25,66,15
49,36,45,61,93,51,17,57,79,79,8,38,17,54,69,6,84,47,85,95
47,63,13,66,28,42,34,57,82,96,5,71,37,91,47,24,30,87,55,80
26,20,46,72,93,23,86,54,42,85,89,55,66,97,52,92,51,1,5,80
44,44,82,72,85,23,0,71,21,98,54,5,70,89,65,17,99,84,45,33
33,32,19,12,16,0,25,30,34,45,10,52,12,70,55,70,88,33,79,12
50,83,71,84,26,53,7,36,12,61,13,77,59,43,66,16,11,57,47,95
49,88,64,14,98,72,61,25,62,75,42,53,72,41,59,62,23,32,59,19
88,29,47,41,50,94,87,99,11,44,89,89,72,14,77,68,96,99,51,36
55,82,37,52,14,79,7,50,6,96,45,73,33,29,7,53,0,41,43,91
69,58,71,55,10,84,79,49,42,13,56,11,45,44,18,17,59,99,79,55
63,87,89,81,20,13,50,33,85,56,32,67,48,16,86,9,55,17,67,73
76,93,83,68,28,65,11,61,20,51,36,59,56,61,1,57,42,5,36,72
54,32,33,91,30,8,93,10,22,88,20,17,21,86,78,45,23,3,86,23
33,78,89,27,58,57,86,40,65,99,53,96,12,54,71,15,56,57,18,84
28,59,49,99,90,3,54,82,75,63,48,47,15,63,54,10,39,59,78,29
18,0,13,24,4,24,14,17,68,92,29,91,36,46,37,16,69,60,65,68
91,52,39,61,69,78,59,96,3,44,84,56,60,60,10,56,77,33,38,38
40,45,95,35,49,72,88,99,7,81,84,53,69,68,1,21,98,93,66,78
16,14,69,32,34,11,60,70,3,29,99,64,11,54,47,83,76,33,69,60
89,48,86,48,53,23,24,1,74,45,58,81,13,14,53,70,58,12,45,11
32,39,6,23,63,48,92,75,26,55,86,32,23,40,95,14,5,34,68,30
60,2,47,78,96,73,91,4,88,62,5,52,23,85,86,39,8,69,78,59
23,72,42,87,11,74,81,28,97,9,42,51,25,37,10,50,38,62,63,19
44,23,37,98,36,10,14,27,56,31,12,10,12,48,86,20,9,34,98,26
89,38,72,45,80,35,18,73,64,51,73,35,26,47,43,42,96,34,76,20
30,43,18,60,51,73,0,37,60,88,24,83,10,62,42,18,38,21,58,0
87,78,19,85,28,50,38,96,62,42,80,8,79,37,42,51,62,85,61,81
56,92,93,77,1,6,89,34,2,13,69,57,84,34,35,39,81,0,81,23
77,75,14,6,46,47,17,96,92,32,64,83,60,77,75,72,85,9,62,27
32,32,26,76,38,20,19,27,33,28,39,54,40,82,16,53,9,9,64,61
98,87,30,19,95,83,38,39,13,56,82,27,98,38,73,9,33,0,12,64
37,89,98,92,84,7,96,53,73,35,71,20,88,69,76,43,13,16,17,87
42,26,30,87,13,42,82,45,91,83,13,28,83,41,14,32,85,52,36,63
82,87,3,15,59,30,53,70,14,94,5,56,22,2,60,36,47,15,90,96
9,95,17,53,5,30,60,17,16,5,36,36,78,93,13,4,35,1,59,42
92,20,50,0,88,60,35,63,74,51,67,78,15,95,30,70,12,32,58,71
69,50,5,20,78,43,53,32,94,11,31,58,3,93,42,35,30,61,42,44
91,65,16,97,1,80,59,38,2,57,94,48,90,67,30,27,14,96,10,91
16,51,70,10,34,0,89,12,66,44,68,82,80,64,7,69,15,11,59,81
88,0,92,24,79,24,96,85,44,73,73,7,34,9,45,9,22,47,51,44
0,90,87,71,99,85,95,67,74,45,37,67,26,36,34,20,61,65,69,83
30,23,52,21,57,27,21,96,28,17,18,15,57,58,54,61,26,84,41,86
13,8,77,22,20,96,95,26,36,54,60,20,61,19,4,24,44,49,37,97
97,28,53,46,37,16,91,84,34,27,52,91,0,24,47,5,23,82,66,18
86,48,73,36,21,84,62,89,35,75,65,87,38,43,73,53,13,79,99,38
44,71,31,61,32,21,30,55,70,86,83,45,64,32,62,42,22,83,46,53
19,6,37,44,33,49,51,4,64,16,3,95,19,36,16,20,73,3,85,83
43,57,46,49,78,46,78,95,90,31,37,99,97,8,19,77,56,57,74,0
64,45,1,40,30,81,8,85,22,9,91,91,0,33,16,34,48,73,10,28
24,92,93,57,48,53,44,52,87,81,52,93,79,79,1,12,98,82,80,45
42,95,72,34,50,87,62,97,30,45,17,1,78,58,91,47,1,87,66,90
91,32,70,62,80,67,63,37,69,78,41,60,37,85,29,87,61,40,89,28
63,5,25,45,25,89,12,13,61,55,66,76,50,61,1,9,9,44,67,90
39,21,94,5,35,14,46,85,24,76,49,69,28,97,1,83,85,13,52,34
76,93,57,52,18,36,7,4,87,6,49,77,86,76,37,33,94,87,40,5
92,99,57,91,86,69,67,32,72,47,89,0,36,66,57,5,31,79,9,52
71,20,33,51,52,24,52,26,92,92,97,63,54,51,97,89,28,17,82,19
15,39,28,10,61,0,52,59,39,68,58,14,57,30,23,23,54,31,10,62
75,53,90,18,30,66,64,22,43,46,82,99,39,84,3,24,77,24,97,93
82,47,39,9,26,41,67,17,69,59,17,48,85,84,72,17,5,90,70,88
55,69,17,67,83,14,57,42,40,81,78,17,41,1,28,75,59,7,50,52
87,56,36,74,61,65,98,82,54,88,98,4,12,39,78,13,10,46,96,99
42,93,72,54,36,99,37,72,98,7,28,52,29,51,22,18,61,79,84,80
45,98,84,68,36,82,84,30,94,30,40,6,19,85,24,24,51,88,18,12
75,43,75,29,95,60,72,35,72,9,24,13,5,46,81,6,7,90,98,14
96,81,41,39,90,68,6,67,79,65,61,47,40,42,60,94,59,61,80,81
96,53,20,73,30,57,17,2,86,94,38,25,12,38,70,54,87,48,77,51
33,67,92,68,75,76,96,7,7,57,54,30,12,57,12,89,87,20,3,87
30,87,99,63,84,19,33,65,5,50,94,0,55,67,68,1,98,24,34,46
50,66,99,21,71,13,50,63,14,0,81,44,41,40,12,46,40,96,29,54
12,91,30,21,80,46,89,60,98,36,16,41,34,52,12,62,0,56,0,67
5,54,73,34,52,38,19,66,24,6,21,45,17,27,74,40,21,86,2,4
11,56,9,65,63,34,12,63,97,31,69,77,95,20,10,42,56,53,40,61
88,73,18,91,47,16,72,96,56,53,59,40,37,62,77,33,50,52,5,42
98,91,88,91,14,71,40,96,43,32,35,11,67,16,99,43,20,61,13,27
53,54,25,44,61,1,25,15,45,75,88,65,5,89,76,60,97,42,48,72
90,28,30,73,7,34,63,93,37,91,92,66,57,69,48,98,49,49,86,78
72,67,79,60,11,67,19,45,27,79,8,76,60,61,80,64,80,99,10,83
39,89,12,84,63,79,93,67,62,2,61,89,26,92,85,6,88,81,1,33
93,90,45,57,19,92,74,43,23,88,27,87,90,76,74,18,58,98,95,8
22,98,4,86,77,29,74,31,1,74,94,48,76,2,22,93,71,14,34,45
33,91,87,87,38,86,64,43,57,75,98,83,52,88,87,66,64,35,78,99
15,5,95,24,1,83,84,13,1,95,99,9,90,95,68,14,14,64,29,57
45,36,76,46,23,95,52,26,61,33,32,29,28,86,19,77,75,60,2,25
19,26,4,90,25,39,51,36,22,98,18,36,6,39,29,6,42,43,48,91
73,19,60,56,27,92,19,40,28,41,78,84,60,56,25,91,87,69,90,73
58,59,93,0,67,33,12,83,81,92,56,73,65,35,21,32,10,96,66,1
58,66,95,3,92,16,47,78,70,49,73,66,47,86,82,63,64,70,41,36
27,57,41,61,85,96,62,29,2,29,48,7,45,33,4,33,56,96,53,72
23,73,83,60,47,5,85,41,73,13,37,76,59,22,54,31,44,10,7,17
14,77,80,51,9,84,41,70,89,46,85,52,79,50,5,10,7,14,64,9
32,30,10,53,18,89,1,86,50,76,5,83,18,0,25,75,88,1,84,26
61,87,4,94,15,34,57,8,16,37,12,37,67,17,54,49,18,5,20,14
49,63,59,60,11,26,17,88,80,70,92,16,14,50,85,19,15,3,52,96
49,94,63,8,69,77,42,3,9,36,91,65,75,34,28,66,72,17,26,53
39,14,9,23,84,28,71,13,61,54,68,67,29,34,86,79,99,19,25,83
49,66,23,90,29,49,9,4,6,99,45,14,87,74,42,64,61,40,22,95
42,21,66,72,21,97,43,89,42,21,38,97,64,70,5,73,19,41,38,77
39,58,65,63,98,43,37,10,40,9,76,32,25,87,88,70,67,98,95,33
71,98,11,51,45,45,50,34,19,54,72,53,73,50,76,10,76,92,42,1
62,30,64,39,21,32,60,0,46,39,33,8,12,55,72,80,20,81,73,36
